"Id","OwnerId","IsDeleted","Name","LLC_BI__Description__c","LLC_BI__End_Date__c","LLC_BI__Has_Period_Grouping__c","LLC_BI__Is_Consolidation__c","LLC_BI__Is_Disabled__c","LLC_BI__Is_Template__c","LLC_BI__Migration_Target__c","LLC_BI__Object_API_Name__c","LLC_BI__Selected_Scale__c","LLC_BI__Show_Footnotes__c","LLC_BI__Source_Template__c","LLC_BI__Start_Date__c","LLC_BI__Version__c","LLC_BI__lookupKey__c"
"a5VWD000000HBHc2AO","005al00000RVcKvAAL","false","a5VWD000000HBHc","","","false","false","false","true","","","m","false","","","","42032230164991889"
"a5VWD000000HAnU2AW","005al00000RVcKvAAL","false","a5VWD000000HAnU","","","false","false","false","true","","","mm","false","","","","42032255867309478"
"a5VWD000000HAlQ2AW","005al00000RVcKvAAL","false","a5VWD000000HAlQ","","","false","false","false","true","","","$","false","","","","42032319527420811"
"a5VWD000000HB3w2AG","005al00000RVcKvAAL","false","a5VWD000000HB3w","","","false","false","false","true","","","m","false","","","","42032528793571420"
"a5VWD000000HAfw2AG","005al00000RVcKvAAL","false","a5VWD000000HAfw","","","false","false","false","true","","","m","false","","","","42032636438393030"
"a5VWD000000HB0Z2AW","005al00000RVcKvAAL","false","a5VWD000000HB0Z","","","false","false","false","true","","","mm","false","","","","42032739573875159"
"a5VWD000000HAku2AG","005al00000RVcKvAAL","false","a5VWD000000HAku","","","false","false","false","true","","","$","false","","","","42032842574766432"
"a5VWD000000HBFJ2A4","005al00000RVcKvAAL","false","a5VWD000000HBFJ","","","false","false","false","true","","","mm","true","","","","42033337786215731"
"a5VWD000000HAuQ2AW","005al00000RVcKvAAL","false","a5VWD000000HAuQ","","","false","false","false","true","","","mm","false","","","","42033399689307412"
"a5VWD000000HAYY2A4","005al00000RVcKvAAL","false","a5VWD000000HAYY","","","false","false","false","true","","","m","false","","","","42033892765567737"
"a5VWD000000HBJw2AO","005al00000RVcKvAAL","false","a5VWD000000HBJw","","","false","false","false","true","","","mm","false","","","","42033954341903267"
"a5VWD000000HAz42AG","005al00000RVcKvAAL","false","a5VWD000000HAz4","","","false","false","false","true","","","mm","true","","","","42034033997493026"
"a5VWD000000HAut2AG","005al00000RVcKvAAL","false","a5VWD000000HAut","","","false","false","false","true","","","$","false","","","","42034238585995455"
"a5VWD000000HB6C2AW","005al00000RVcKvAAL","false","a5VWD000000HB6C","","","false","false","false","true","","","mm","true","","","","42034577549783175"
"a5VWD000000HBIl2AO","005al00000RVcKvAAL","false","a5VWD000000HBIl","","","false","false","false","true","","","mm","true","","","","42034968451553920"
"a5VWD000000HArn2AG","005al00000RVcKvAAL","false","a5VWD000000HArn","","","false","false","false","true","","","m","true","","","","42035231136563269"
"a5VWD000000HAnZ2AW","005al00000RVcKvAAL","false","a5VWD000000HAnZ","","","false","false","false","true","","","mm","false","","","","42035896538907867"
"a5VWD000000HAvs2AG","005al00000RVcKvAAL","false","a5VWD000000HAvs","","","false","false","false","true","","","$","false","","","","42036534302999427"
"a5VWD000000HBGn2AO","005al00000RVcKvAAL","false","a5VWD000000HBGn","","","false","false","false","true","","","$","true","","","","42036571433952990"
"a5VWD000000HAhc2AG","005al00000RVcKvAAL","false","a5VWD000000HAhc","","","false","false","false","true","","","$","false","","","","42036773011346818"
"a5VWD000000HBFb2AO","005al00000RVcKvAAL","false","a5VWD000000HBFb","","","false","false","false","true","","","m","true","","","","42036866162906278"
"a5VWD000000HAwq2AG","005al00000RVcKvAAL","false","a5VWD000000HAwq","","","false","false","false","true","","","mm","false","","","","42036899327503396"
"a5VWD000000HAvv2AG","005al00000RVcKvAAL","false","a5VWD000000HAvv","","","false","false","false","true","","","$","true","","","","42037131246778411"
"a5VWD000000HAlm2AG","005al00000RVcKvAAL","false","a5VWD000000HAlm","","","false","false","false","true","","","$","false","","","","42037464255134884"
"a5VWD000000HAY22AO","005al00000RVcKvAAL","false","a5VWD000000HAY2","","","false","false","false","true","","","mm","true","","","","42037608019338893"
"a5VWD000000HAlW2AW","005al00000RVcKvAAL","false","a5VWD000000HAlW","","","false","false","false","true","","","mm","false","","","","42037795469072457"
"a5VWD000000HBA32AO","005al00000RVcKvAAL","false","a5VWD000000HBA3","","","false","false","false","true","","","mm","true","","","","42038007932847869"
"a5VWD000000HB1c2AG","005al00000RVcKvAAL","false","a5VWD000000HB1c","","","false","false","false","true","","","m","false","","","","42038150842119913"
"a5VWD000000HAvp2AG","005al00000RVcKvAAL","false","a5VWD000000HAvp","","","false","false","false","true","","","$","true","","","","42038196650003321"
"a5VWD000000HB092AG","005al00000RVcKvAAL","false","a5VWD000000HB09","","","false","false","false","true","","","$","false","","","","42038262717059336"
"a5VWD000000HAgR2AW","005al00000RVcKvAAL","false","a5VWD000000HAgR","","","false","false","false","true","","","$","true","","","","42038274486169744"
"a5VWD000000HB2E2AW","005al00000RVcKvAAL","false","a5VWD000000HB2E","","","false","false","false","true","","","mm","true","","","","42038726011352651"
"a5VWD000000HAxW2AW","005al00000RVcKvAAL","false","a5VWD000000HAxW","","","false","false","false","true","","","m","false","","","","42038943307777138"
"a5VWD000000HAzM2AW","005al00000RVcKvAAL","false","a5VWD000000HAzM","","","false","false","false","true","","","mm","false","","","","42039418083076481"
