"Id","IsDeleted","Name","nFORCE__Display_Order__c","nFORCE__Field_Set_Key__c","nFORCE__Filter_Criteria__c","nFORCE__Layout__c","nFORCE__Limit__c","nFORCE__Offset_By_Limit__c","nFORCE__Parent_Configuration__c","nFORCE__Parent_Relationship_Name__c","nFORCE__Screen_Section__c","nFORCE__Section_Header__c","nFORCE__Sort_Criteria__c","nFORCE__Unique__c","nFORCE__lookupKey__c","nFORCE__sObject_Type__c"
"a0vWD00000B9kPgYAJ","false","SC-000023426","1.01","","","","","false","","","a0qWD00000GT9PzYAL","Account Debt","","false","1062","LLC_BI__Loan__c"
"a0vWD00000B9lPBYAZ","false","SC-000027122","2.01","","","","","false","a0vWD00000B9kPgYAJ","LLC_BI__Account__r","a0qWD00000GT9PzYAL","","","false","1063","Account"
"a0vWD00000BD6a1YAD","false","SC-000029669","3.01","nSBA__Form_1920_Account_Debt","","","","false","a0vWD00000B9lPBYAZ","nSBA__Account_Debt__r","a0qWD00000GT9PzYAL","","","false","1064","nSBA__Account_Debt__c"
"a0vWD00000B9kPhYAJ","false","SC-000023427","3.01","nSBA__SBA_Form_10","","","","false","","","a0qWD00000GT9QcYAL","SBA Form 10","","false","1065","LLC_BI__Loan__c"
"a0vWD00000B9kPiYAJ","false","SC-000023428","3.01","nSBA__SBA_Form_1846","","","","false","","","a0qWD00000GT9QdYAL","SBA Form 1846","","false","1066","LLC_BI__Loan__c"
"a0vWD00000B9kPjYAJ","false","SC-000023429","3.01","nSBA__SBA_Form_652_Primary_Account","","","","false","","","a0qWD00000GT9QVYA1","SBA Form 652","","false","1067","LLC_BI__Loan__c"
"a0vWD00000B9kPkYAJ","false","SC-000023430","3.01","nSBA__SBA_Form_652","","","","false","","","a0qWD00000GT9QGYA1","SBA Form 652","","false","1068","LLC_BI__Loan__c"
"a0vWD00000B9kPlYAJ","false","SC-000023431","1.01","nSBA__SBA_1919_Type_of_Business","","","","false","","","a0qWD00000GT9QmYAL","SBA Form 1919","","false","1069","LLC_BI__Loan__c"
"a0vWD00000B9kPmYAJ","false","SC-000023432","1.01","nSBA__SBA_1919_Prior_Government_Guaranteed_Loa","","","","false","","","a0qWD00000GT9QXYA1","SBA Form 1919","","false","1070","LLC_BI__Loan__c"
"a0vWD00000B9kPnYAJ","false","SC-000023433","1.01","nSBA__SBA_1919_Conflict","","","","false","","","a0qWD00000GT9QAYA1","SBA Form 1919","","false","1071","LLC_BI__Loan__c"
"a0vWD00000B9kPoYAJ","false","SC-000023434","1.01","","","","","false","","","a0qWD00000GT9QUYA1","Relationship","","false","1072","LLC_BI__Loan__c"
"a0vWD00000B9lPCYAZ","false","SC-000027123","2.01","nSBA__SBA_Form_1919_Primary_Account","","","","false","a0vWD00000B9kPoYAJ","LLC_BI__Account__r","a0qWD00000GT9QUYA1","","","false","1073","Account"
"a0vWD00000B9kPqYAJ","false","SC-000023436","1.01","nSBA__SBA_1919_Jobs","","","","false","","","a0qWD00000GT9QeYAL","Relationship","","false","1077","LLC_BI__Loan__c"
"a0vWD00000B9kPrYAJ","false","SC-000023437","1.01","","","","","false","","","a0qWD00000GT9QnYAL","Relationship","","false","1078","LLC_BI__Loan__c"
"a0vWD00000B9lPEYAZ","false","SC-000027125","2.01","","","","","false","a0vWD00000B9kPrYAJ","LLC_BI__Application__r","a0qWD00000GT9QnYAL","","","false","1079","LLC_BI__Application__c"
"a0vWD00000BD6a3YAD","false","SC-000029671","3.01","nSBA__SBA_Use","","","","false","a0vWD00000B9lPEYAZ","nSBA__Use_Of_Proceeds__r","a0qWD00000GT9QnYAL","Use of Proceeds","","false","1080","nSBA__Use_Of_Proceeds__c"
"a0vWD00000B9kR5YAJ","false","SC-000023513","1.01","","","","","false","","","a0qWD00000GT9QIYA1","Relationship","","false","1081","LLC_BI__Loan__c"
"a0vWD00000B9lPhYAJ","false","SC-000027154","2.01","","","","","false","a0vWD00000B9kR5YAJ","LLC_BI__Application__r","a0qWD00000GT9QIYA1","","","false","1082","LLC_BI__Application__c"
"a0vWD00000BD6a4YAD","false","SC-000029672","3.01","nSBA__SBA_Injections","","","","false","a0vWD00000B9lPhYAJ","nSBA__Application_Injections__r","a0qWD00000GT9QIYA1","Use of Proceeds","","false","1083","nSBA__Injections__c"
"a0vWD00000B9kR6YAJ","false","SC-000023514","1.01","","","","","false","","","a0qWD00000GT9Q8YAL","Change of Ownership","","false","1084","LLC_BI__Loan__c"
"a0vWD00000B9lPiYAJ","false","SC-000027155","2.01","","","","","false","a0vWD00000B9kR6YAJ","LLC_BI__Application__r","a0qWD00000GT9Q8YAL","","","false","1085","LLC_BI__Application__c"
"a0vWD00000BD6a5YAD","false","SC-000029673","3.01","nSBA__SBA_ChangeOwner","","","","false","a0vWD00000B9lPiYAJ","nSBA__Change_Of_Ownerships__r","a0qWD00000GT9Q8YAL","","","false","1086","nSBA__Change_Of_Ownership__c"
